Family,species_name,max_length_m,max_mass_kg,max_mass_max_length_ratio,dentition,migratory_behaviour,max_diving_depth,average_group_size,prey_choice,confidence_max_length,confidence_max_mass,confidence_mass_length_ratio,confidence_dentition,confidence_migratory_behaviour,confidence_max_diving_depth,confidence_group_size,confidence_prey_choice,PCEEZ,Global
DELPHINIDAE,Lissodelphis_borealis,small,intermediate,low,FCT,Migratory,epipelagic,Large,cephalopods,1,1,1,1,1,0,1,1,1,1
DELPHINIDAE,Lissodelphis_peronii,small,intermediate,low,FCT,Mixed,upper_mesopelagic,Large,cephalopods,1,1,1,1,1,0,1,1,0,1
BALAENOPTERIDAE,Megaptera_novaeangliae,very_large,very_large,high,SB,Migratory,epipelagic,Small,zooplankton,1,1,1,1,1,1,1,1,1,1
ZIPHIIDAE,Mesoplodon_bidens,intermediate,large,medium,NFCT,Non-Migratory,bathypelagic,Small,cephalopods,1,1,1,1,0,1,1,1,0,1
ZIPHIIDAE,Mesoplodon_bowdoini,small,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,0,0,1,1,0,1
ZIPHIIDAE,Mesoplodon_carlhubbsi,intermediate,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,0,0,1,1,1,1
ZIPHIIDAE,Mesoplodon_densirostris,small,large,medium,NFCT,Non-Migratory,bathypelagic,Small,cephalopods,1,1,1,1,1,1,1,1,0,1
ZIPHIIDAE,Mesoplodon_eueu,intermediate,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,0,0,1,0,0,1,1,0,1
ZIPHIIDAE,Mesoplodon_europaeus,small,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,0,1,1,1,0,1
ZIPHIIDAE,Mesoplodon_ginkgodens,intermediate,large,medium,NFCT,Non-Migratory,bathypelagic,Small,cephalopods,1,1,1,1,1,0,1,1,0,1
ZIPHIIDAE,Mesoplodon_grayi,intermediate,large,medium,FCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,0,1,1,1,0,1
ZIPHIIDAE,Mesoplodon_hectori,small,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,0,0,1,1,0,1
ZIPHIIDAE,Mesoplodon_hotaula,small,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,0,0,1,0,0,0,0,0,1
ZIPHIIDAE,Mesoplodon_layardii,intermediate,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,1,1,1,1,0,1
ZIPHIIDAE,Mesoplodon_mirus,intermediate,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,0,1,1,1,0,1
