Lats,Longs
50.7967793,-136.5330159
50.79110763,-136.5258504
50.78969194,-136.5240573
50.78686283,-136.5204642
50.78545055,-136.5186657
50.77415322,-136.5042446
50.77274379,-136.5024411
50.76992644,-136.4988263
50.76851966,-136.4970166
50.76289552,-136.4897628
50.76149173,-136.4879476
50.75868644,-136.4843105
50.75728609,-136.4824901
50.74608441,-136.4678931
50.74468693,-136.4660677
50.74189356,-136.4624092
50.74049878,-136.4605776
50.73492274,-136.4532364
50.73353099,-136.4513993
50.73074982,-136.4477186
50.72936154,-136.4458765
50.71825666,-136.4311056
50.71687129,-136.4292584
50.71410217,-136.4255565
50.71271954,-136.4237033
50.70719218,-136.4162756
50.70581507,-136.4144203
50.70304557,-136.4106792
50.70167979,-136.4088294
50.69067285,-136.3938863
50.68929973,-136.3920177
50.68655517,-136.3882729
50.68518482,-136.3863983
50.67970672,-136.3788849
50.67887725,-136.3777456
50.67721876,-136.375464
50.67585306,-136.3735801
50.6747795,-136.3720953
50.67424369,-136.3713534
50.66333584,-136.35624
50.66216714,-136.3546175
50.6598306,-136.3513663
50.65866382,-136.3497392
50.65399861,-136.3432189
50.65269602,-136.3413939
50.65009317,-136.3377379
50.64876611,-136.3358691
50.64795716,-136.3347268
50.63731312,-136.3196886
50.63596244,-136.3177757
50.63326642,-136.3139476
50.63192039,-136.3120313
50.62653975,-136.3043518
50.62518609,-136.3024148
50.62248135,-136.2985344
50.62111656,-136.2965711
50.62040814,-136.2955492
50.60941626,-136.2796887
50.60807943,-136.2777552
50.60540918,-136.273883
50.60407604,-136.2719447
50.59874905,-136.26418
50.59741962,-136.2622373
50.59476331,-136.2583455
50.59343751,-136.256398
50.5828336,-136.2407847
50.58151088,-136.2388325
50.57886729,-136.2349207
50.57754751,-136.2329626
50.57227199,-136.2251161
50.57095544,-136.2231529
50.56832493,-136.2192203
50.56701204,-136.2172524
50.55651163,-136.2014762
50.55520185,-136.1995037
50.55258421,-136.1955512
50.5512774,-136.1935729
50.5460539,-136.1856454
50.54475036,-136.183662
50.54214592,-136.1796891
50.54084607,-136.177701
50.53045025,-136.1617637
50.52915355,-136.1597711
50.5265621,-136.1557786
50.5252684,-136.1537802
50.52009746,-136.1457726
50.51880706,-136.1437693
50.51622896,-136.1397564
50.51494229,-136.1377485
50.50465211,-136.121652
50.50336861,-136.1196395
50.50080363,-136.1156073
50.49952318,-136.1135892
50.49440532,-136.1055025
50.4931282,-136.1034794
50.4905767,-136.0994271
50.48930334,-136.0973995
50.47911985,-136.0811457
50.4778497,-136.0791136
50.47531144,-136.0750422
50.47404437,-136.0730045
50.4689801,-136.0648396
50.4677164,-136.0627971
50.46519175,-136.0587058
50.46393183,-136.0566588
50.45385608,-136.0402496
50.45259939,-136.0381981
50.45008812,-136.034088
50.44883456,-136.032031
50.44382441,-136.0237889
50.44257424,-136.0217271
50.44007671,-136.0175973
50.43883036,-136.0155311
50.42886336,-135.9989684
50.42762027,-135.9968978
50.42513624,-135.9927494
50.42389631,-135.9906733
50.41894079,-135.9823549
50.41770429,-135.9802741
50.41523413,-135.9761063
50.41400147,-135.9740211
50.40414424,-135.9573068
50.40291488,-135.9552173
50.40045834,-135.9510312
50.39923217,-135.9489363
50.39433178,-135.9405426
50.39310907,-135.9384429
50.39066653,-135.9342377
50.38944769,-135.9321337
50.37970124,-135.9152698
50.37848572,-135.9131616
50.37605693,-135.9089382
50.37484464,-135.9068246
50.36999988,-135.8983566
50.36879108,-135.8962384
50.36637641,-135.8919961
50.36517152,-135.8898736
50.35755954,-135.8764334
50.31341905,-135.8089023
50.29383062,-135.7767107
50.28625778,-135.7669572
50.28485912,-135.7651514
50.28206337,-135.7615323
50.28066741,-135.7597204
50.27508662,-135.7524582
50.27369368,-135.7506409
50.27091014,-135.7469998
50.26952067,-135.7451774
50.25840628,-135.7305652
50.25701973,-135.7287378
50.25424823,-135.7250757
50.25286442,-135.7232423
50.2473323,-135.7158942
50.24595154,-135.7140555
50.2431924,-135.7103716
50.24279488,-135.7098404
50.24181514,-135.7085278
50.23079868,-135.6937446
50.22942438,-135.691896
50.22667743,-135.6881912
50.2253059,-135.6863366
50.21982302,-135.6789035
50.21885119,-135.6775837
50.21690836,-135.6749402
50.21554181,-135.6730759
50.21475018,-135.671993
50.21435524,-135.6714524
50.20343785,-135.6565001
50.20222062,-135.6548295
50.20035358,-135.652261
50.16438994,-135.6060051
50.14370269,-135.5792012
50.12314872,-135.5521615
50.10272921,-135.524888
50.08244531,-135.4973823
50.06229818,-135.4696464
50.04228895,-135.441682
50.02241877,-135.4134911
50.00268874,-135.3850755
49.97042926,-135.3376821
49.93855972,-135.2896899
49.81843298,-135.1072698
49.76685154,-135.0299593
49.76665289,-135.029674
49.75713862,-135.01598
49.75595165,-135.014268
